"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","7.99099511694613","16.5357498898677","16.9625399890196","28.0218199235858","34.4439945623793","38.7019862978679","41.5410053835877","48.5063815995156","50.6480229831174","54.515348757276","59.2303527882192","53.4601279020498","52.6869294916123","56.364240153042","59.0585174600445","59.5661366905479","58.4996128417756","58.0509667298452","55.2552801999603","53.2702239543537","56.8718929401771","57.581181622557","59.3388987378456","61.7700699640952","65.2043952637462","68.1293689466008","69.2083852560363","71.1319556912582","72.6720877470666","74.4887281926727","74.4850789507988","77.3594015570598","76.8095702728801","76.1956680450769","78.2159155266313","77.7581926868887","78.358324145262","78.1403063482149","79.0127129743276","79.5885883970958","77.6197202250965","73.8726272853394","72.6853426898567","73.2972166364187","",
"Afghanistan","AFG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","4","3","5","5","16","15","11","25","35","33","25","23","21","18","12","20","31","28","27","27","24","33","36","41","50","58","58","63","64","63","66","68","66","64","63","64","65","63","67","65","61","55","58","60","",
"Africa Western and Central","AFW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","1.4240956836211","3.36014333420311","4.57385576131443","5.31686318285649","10.5645385569363","16.312608166278","23.9740887400812","29.3991091456771","34.7525077940509","43.0316965185117","51.4026483589568","41.413286942849","43.587036754071","37.964774894704","44.9604994944673","41.7732413125893","37.7225111015893","34.9227808114575","40.3941107463151","41.4261904511471","43.1280738684937","42.4189844026276","43.3081634833334","47.0109633177472","50.101627313211","53.7409780423053","57.0888580132333","59.1095566013086","64.3486448720874","69.5330956373395","66.0079077480212","62.0207695354439","60.5092133797413","59.6776060449184","60.2791564317637","60.2014648243799","66.2892983968157","67.5835462782775","69.7156636451341","72.0367528313137","69.0812925867514","70.1341585690898","70.6914506130062","71.3946009360697","",
"Angola","AGO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","6","8","8","10","10","12","18","24","26","21","30","27","24","28","41","47","21","31","42","47","46","47","47","44","48","49","50","51","52","53","54","55","59","59","56","63","57","51","45","42","54","",
"Albania","ALB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","94","94","95","95","95","96","96","96","96","94","94","78","94","96","99","97","98","99","96","97","97","97","98","97","97","98","97","98","99","98","99","99","99","99","98","99","98","99","99","99","98","98","97","97","",
"Andorra","AND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","89","90","98","96","97","99","99","98","93","96","99","99","99","99","99","96","97","97","98","99","99","99","99","99","98","98","",
"Arab World","ARB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","20.7544282801032","22.8076282860471","27.5613436659541","31.4682576594966","40.7102005096568","57.0122931211564","62.8367281638843","66.3628251331473","72.0052789655491","79.3432322208294","80.5853675077798","74.1051829866744","74.6177175184006","75.3331676309384","73.1869137073286","75.9747660965912","77.8068677024681","76.2390537801792","78.432587164216","81.1403907748561","82.8437008467888","83.9216512021281","81.7626386245476","82.1731111258811","83.161867007694","84.0542186645453","83.4031503214352","84.9663538389446","85.8097130869055","86.6301187945855","87.5422854638735","87.3582505107087","84.6687664731519","85.9996462779938","85.41758901286","83.9336532653603","84.5012723957431","85.3984106410623","84.7254482528538","84.7523486992644","81.3420371040686","80.8311426229952","80.212030690905","77.2078706907955","",
"United Arab Emirates","ARE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","11","45","43","50","59","76","78","80","82","84","85","85","86","90","90","90","90","92","94","94","94","94","94","94","94","94","92","92","92","93","94","95","96","98","99","99","99","97","99","99","90","96","96","96","",
"Argentina","ARG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","44","49","58","61","62","66","67","75","80","80","87","80","81","81","82","85","83","88","84","86","83","83","93","96","98","98","91","91","93","94","94","91","91","94","94","94","92","86","86","83","74","81","84","66","",
"Armenia","ARM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","86","98","86","88","82","91","93","94","94","94","91","90","87","88","89","93","94","95","95","95","93","94","94","94","92","92","91","93","93","94","",
"American Samoa","ASM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","54","79","79","99","94","99","96","97","98","99","99","94","99","99","99","99","99","99","99","99","95","97","98","99","97","99","99","99","99","99","98","99","98","99","99","99","92","95","95","95","96","92","99","97","",
"Australia","AUS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","33","40","48","55","62","68","75","81","88","93","95","93","91","90","88","86","86","77","82","88","90","92","92","93","92","92","92","92","92","92","92","92","92","91","92","93","94","95","95","95","95","95","94","94","",
"Austria","AUT","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","82","74","81","84","83","84","83","86","83","85","83","83","86","89","92","95","98","93","87","90","85","85","85","86","84","84","",
"Azerbaijan","AZE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","66","69","74","74","70","73","75","76","77","76","77","77","75","78","79","81","81","81","87","89","93","94","96","97","95","95","94","79","89","83","83","",
"Burundi","BDI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","36","33","44","26","36","55","68","51","82","86","83","80","63","48","73","73","74","65","79","80","81","81","82","83","87","92","99","92","94","96","96","96","96","95","94","94","91","90","93","93","94","91","89","",
"Belgium","BEL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","95","95","95","95","95","95","95","95","80","94","93","92","95","97","96","94","95","87","79","87","95","95","95","95","95","97","98","98","99","98","98","98","99","99","99","99","98","98","98","97","97","98","98","98","",
"Benin","BEN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","25","30","48","74","69","73","75","81","67","66","66","70","74","78","76","75","73","72","70","74","82","75","79","76","75","80","77","74","74","76","75","73","72","70","70","69","69","",
"Burkina Faso","BFA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","9","19","23","34","44","66","53","39","39","36","34","37","39","15","15","45","62","69","79","79","82","86","89","93","92","91","91","90","88","91","91","91","91","91","91","91","91","93","94","",
